row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
11	STL @ PHI	8	CLE	0.007	STL	PHI	0.058	0.056	0.063	0
12	NYJ @ SD	8	CLE	0.015	NYJ	SD	0.058	0.054	0.069	1
13	KC @ SF	8	CLE	0.002	KC	SF	0.058	0.059	0.056	1
14	CLE @ TEN	8	CLE	0.062	CLE	TEN	0.058	0.032	0.094	1
15	SEA @ WAS	8	CLE	0.002	SEA	WAS	0.058	0.059	0.058	0
1	CHI @ CAR	9	SD	0.005	CHI	CAR	0.615	0.617	0.613	0
2	HOU @ DAL	9	SD	0.015	HOU	DAL	0.615	0.621	0.606	1
3	ARZ @ DEN	9	SD	0.012	ARZ	DEN	0.615	0.612	0.624	1
4	BUF @ DET	9	SD	0.004	BUF	DET	0.615	0.614	0.619	0
5	MIN @ GB	9	SD	0.002	MIN	GB	0.615	0.616	0.614	0
6	BAL @ IND	9	SD	0.025	BAL	IND	0.615	0.606	0.631	0
7	PIT @ JAC	9	SD	0.015	PIT	JAC	0.615	0.626	0.611	1
8	CIN @ NE	9	SD	0.027	CIN	NE	0.615	0.626	0.599	0
9	TB @ NO	9	SD	0.001	TB	NO	0.615	0.615	0.616	0
10	ATL @ NYG	9	SD	0.001	ATL	NYG	0.615	0.615	0.616	0
11	STL @ PHI	9	SD	0.019	STL	PHI	0.615	0.62	0.602	0
12	NYJ @ SD	9	SD	0.199	NYJ	SD	0.615	0.668	0.469	1
13	KC @ SF	9	SD	0.047	KC	SF	0.615	0.628	0.581	1
14	CLE @ TEN	9	SD	0.015	CLE	TEN	0.615	0.622	0.607	0
15	SEA @ WAS	9	SD	0.001	SEA	WAS	0.615	0.615	0.616	0
1	CHI @ CAR	10	DEN	0.008	CHI	CAR	0.932	0.936	0.928	0
2	HOU @ DAL	10	DEN	0.006	HOU	DAL	0.932	0.935	0.929	0
3	ARZ @ DEN	10	DEN	0.069	ARZ	DEN	0.932	0.951	0.882	1
4	BUF @ DET	10	DEN	0.007	BUF	DET	0.932	0.935	0.927	0
5	MIN @ GB	10	DEN	0.005	MIN	GB	0.932	0.933	0.929	0
6	BAL @ IND	10	DEN	0.002	BAL	IND	0.932	0.933	0.931	0
7	PIT @ JAC	10	DEN	0	PIT	JAC	0.932	0.932	0.933	1
8	CIN @ NE	10	DEN	0.002	CIN	NE	0.932	0.932	0.934	0
9	TB @ NO	10	DEN	0.018	TB	NO	0.932	0.936	0.917	0
10	ATL @ NYG	10	DEN	0.002	ATL	NYG	0.932	0.933	0.931	0
11	STL @ PHI	10	DEN	0.008	STL	PHI	0.932	0.93	0.938	0
12	NYJ @ SD	10	DEN	0.01	NYJ	SD	0.932	0.93	0.94	1
13	KC @ SF	10	DEN	0.017	KC	SF	0.932	0.937	0.92	1
14	CLE @ TEN	10	DEN	0.008	CLE	TEN	0.932	0.936	0.928	0
15	SEA @ WAS	10	DEN	0	SEA	WAS	0.932	0.933	0.932	0
1	CHI @ CAR	11	KC	0.007	CHI	CAR	0.241	0.244	0.237	0
2	HOU @ DAL	11	KC	0.02	HOU	DAL	0.241	0.249	0.229	1
3	ARZ @ DEN	11	KC	0.012	ARZ	DEN	0.241	0.238	0.25	1
4	BUF @ DET	11	KC	0.014	BUF	DET	0.241	0.245	0.231	0
5	MIN @ GB	11	KC	0.007	MIN	GB	0.241	0.243	0.235	0
6	BAL @ IND	11	KC	0.013	BAL	IND	0.241	0.246	0.233	1
7	PIT @ JAC	11	KC	0.021	PIT	JAC	0.241	0.256	0.235	1
8	CIN @ NE	11	KC	0.012	CIN	NE	0.241	0.246	0.234	0
9	TB @ NO	11	KC	0.002	TB	NO	0.241	0.241	0.239	0
10	ATL @ NYG	11	KC	0	ATL	NYG	0.241	0.241	0.241	0
11	STL @ PHI	11	KC	0.006	STL	PHI	0.241	0.239	0.245	0
12	NYJ @ SD	11	KC	0.018	NYJ	SD	0.241	0.236	0.254	1
